,candidate,count,image_file,image_url,news_source,news_source_url,present
450,hillary_clinton,450,450_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/18/9_182016_campaign-2016-clinton-128201_c0-208-4930-3082_s885x516.jpg?4d5855c3a8da694fee4989743c1ce20230bf830f,Washington Time,http://www.washingtontimes.com/news/2016/sep/18/hillary-clinton-top-surrogates-crank-up-heat-again/,1
454,hillary_clinton,454,454_hillary_clinton.jpg,http://cdn-image.foodandwine.com/sites/default/files/styles/rd_fwrd_blog_main_image/public/1457039174/hillary-clinton-FT-BLOG0316.jpg?itok\u003dwgZl4pq3,Food \u0026 Wine,http://www.foodandwine.com/blogs/hillary-clinton-joins-no-tip-restaurant-movement,1
456,hillary_clinton,456,456_hillary_clinton.jpg,https://timedotcom.files.wordpress.com/2016/07/hillary-clinton-019.jpg?quality\u003d85\u0026w\u003d419,Time,http://time.com/4429984/dnc-hillary-clinton-speech-video-transcript/,1
458,hillary_clinton,458,458_hillary_clinton.jpg,http://a.abcnews.com/images/Politics/GTY_hillary_clinton_jef_160923_12x5_1600.jpg,ABC News - Go.com,http://abcnews.go.com/US/fbi-releases-189-pages-hillary-clinton-email-probe/story?id\u003d42319084,1
461,hillary_clinton,461,461_hillary_clinton.jpg,http://static01.mediaite.com/med/wp-content/uploads/2016/09/hillary-clinton-2-300x197.jpg,Mediaite,http://www.mediaite.com/tv/hillary-clinton-trump-is-projecting-phony-strength/,1
463,hillary_clinton,463,463_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/01/Campaign_2016_Clinton.JPEG-0371b_c0-223-5340-3336_s885x516.jpg?d19298291d671d070e2ba528d7d5552a64b21518,Washington Time,http://www.washingtontimes.com/news/2016/sep/7/vote-hillary-clinton-war-russia-china-others/,1
469,hillary_clinton,469,469_hillary_clinton.jpg,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2016/05/25/0525hillaryclinton.jpg,Newsweek,http://www.newsweek.com/hillary-clinton-scandals-benghazi-emailgate-463571,1
473,hillary_clinton,473,473_hillary_clinton.jpg,http://static.politico.com/28/0b/b1bdb3ff404386586d42aa1b6f73/06-hillary-clinton-12-ap-1160.jpg,Politico,http://www.politico.com/story/2016/09/hillary-clinton-bernie-sanders-supporters-audio-leak-228997,1
475,hillary_clinton,475,475_hillary_clinton.jpg,http://cdn-img.instyle.com/sites/default/files/styles/480xflex/public/celebrities/transformation/196-hillary-clinton-400_0.jpg?itok\u003dkXyFAgZr,InStyle,http://www.instyle.com/celebrity/transformations/hillary-rodham-clintons-changing-looks,1
482,hillary_clinton,482,482_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/fashion/2016/07/29/104322427-hillary_clinton_EPA-xlarge_trans_NvBQzQNjv4BqaDnIKI3Q0aQre1cqAkdPGU3hE075SqS4iGLmlaa-LAU.jpg,The Telegraph,http://www.telegraph.co.uk/fashion/people/the-significance-of-the-white-pant-suit-hillary-clinton-wore-to/,1
484,hillary_clinton,484,484_hillary_clinton.jpg,http://newsinfo.inquirer.net/files/2016/10/hillary-clinton1.jpg,Inquirer New,http://newsinfo.inquirer.net/829936/clinton-warns-trump-is-threatening-us-democracy,1
485,hillary_clinton,485,485_hillary_clinton.jpg,http://cdns.yournewswire.com/wp-content/uploads/2016/09/Clinton-one-year-left.jpg,Your News Wire,http://yournewswire.com/medical-professor-claims-hillary-clinton-has-one-year-to-live/,1
486,hillary_clinton,486,486_hillary_clinton.jpg,http://conservativeworlddaily.com/wp-content/uploads/2017/03/Hillary-Clinton-Stepping-Out-Of-Car-Reuters.jpg,Conservative World Daily,http://conservativeworlddaily.com/tag/hillary-clinton/,1
490,hillary_clinton,490,490_hillary_clinton.jpg,https://cdn2.img.sputniknews.com/images/104623/15/1046231583.jpg,Sputnik International,https://sputniknews.com/columnists/201610111046232018-hillary-clinton-axis-of-evil/,1
494,hillary_clinton,494,494_hillary_clinton.jpg,https://pmcvariety.files.wordpress.com/2016/09/hillary-clinton.jpg?w\u003d670\u0026h\u003d377\u0026crop\u003d1,Variety,http://variety.com/2016/digital/news/hillary-clinton-donald-trump-twitter-delete-your-account-retweet-1201912895/,1
497,hillary_clinton,497,497_hillary_clinton.jpg,http://img.wennermedia.com/480-width/hillary-clinton-inline-2a5dee0d-08a6-4b0d-856a-304c9822e06f.jpg,Us Weekly,http://www.usmagazine.com/celebrity-news/news/hillary-clinton-calls-for-fbi-to-release-info-following-email-probe-w447410,1
500,hillary_clinton,500,500_hillary_clinton.jpg,http://www.newyorker.com/wp-content/uploads/2016/09/Cassidy-Hillary-Clinton-Basket-of-Deplorables-1200.jpg,The New Yorker,http://www.newyorker.com/topics/hillary-clinton-in-the-new-yorke,1
505,hillary_clinton,505,505_hillary_clinton.jpg,http://also.kottke.org/misc/images/hillary-clinton-ny.jpg?1,Kottke,http://kottke.org/tag/Hillary%20Clinton,1
507,hillary_clinton,507,507_hillary_clinton.jpg,http://www.naturalnews.com/gallery/640/Misc/Hillary-Clinton-Cult-Leader.jpg,Natural New,http://www.naturalnews.com/Hillary_Clinton.html,1
510,hillary_clinton,510,510_hillary_clinton.jpg,http://www.womenshealthmag.com/sites/womenshealthmag.com/files/articles/2016/03/hillaryclinton.jpg,Women\u0027s Health,http://www.womenshealthmag.com/life/joe-scarborough-hillary-rodham-clinton-smile,1
515,hillary_clinton,515,515_hillary_clinton.jpg,http://www.investors.com/wp-content/uploads/2016/10/EDIT2-investors-102516-AP.jpg,Investor\u0027s Business Daily,http://www.investors.com/politics/editorials/why-do-investors-seem-to-favor-hillary-clinton-ibdtipp-poll/,1
516,hillary_clinton,516,516_hillary_clinton.jpg,https://www.usnews.com/dims4/USNEWS/88f1c24/2147483647/thumbnail/970x647/quality/85/?url\u003d%2Fcmsmedia%2F81%2F5fc5ed26097282afd01a968141e3fe%2Fresizes%2F1500%2Fmedia%3A163ace4188fd42f19c2dbddceeb37b24Campaign2016Clinton.JPEG,US News \u0026 World Repor,http://www.usnews.com/news/articles/2016-09-11/hillary-clinton-diagnosed-with-pneumonia,1
518,hillary_clinton,518,518_hillary_clinton.jpg,http://ei.marketwatch.com//Multimedia/2016/03/22/Photos/MG/MW-EI529_clinto_20160322231815_MG.jpg?uuid\u003de1fd3734-f0a5-11e5-8951-0015c588dfa6,MarketWatch,http://www.marketwatch.com/story/the-elections-over-hillary-clinton-won-2016-10-06,1
528,hillary_clinton,528,528_hillary_clinton.jpg,http://www.womenshealthmag.com/sites/womenshealthmag.com/files/images/hillary-rodham-clinton-secretary-of-state_0.jpg,Women\u0027s Health,http://www.womenshealthmag.com/life/hillary-clinton-womens-issues,1
531,hillary_clinton,531,531_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/fashion/2016/07/27/104180459_MANCHESTER_NH_-_OCTOBER_5_Democratic_Presidential_candidate_Hillary_Clinton_speaks_at_a_to-xxlarge_trans_NvBQzQNjv4Bq3-5q64xkypxXlfrMnynSlTiJ2KaMcwe8XIqF0hRFiWY.jpg,The Telegraph,http://www.telegraph.co.uk/fashion/people/meet-nina-mclemore-the-designer-behind-hillary-clintons-rules-of/,1
536,hillary_clinton,536,536_hillary_clinton.jpg,http://hbz.h-cdn.co/assets/16/42/768x1152/hbz-hillary-clinton-1019-getty.jpg,Harper\u0027s Bazaar,http://www.harpersbazaar.com/fashion/trends/news/a18336/hillary-clinton-presidential-debate-pantsuits/,1
537,hillary_clinton,537,537_hillary_clinton.jpg,https://img.washingtonpost.com/rf/image_480w/2010-2019/WashingtonPost/2016/09/14/Others/Images/2016-09-14/GettyImages-14699801473887651.jpg?uuid\u003dL8YWRHrAEeaAZMHdyKckuw,Washington Po,https://www.washingtonpost.com/politics/hillary-clinton-regrets-her-iraq-vote-but-opting-for-intervention-was-a-pattern/2016/09/15/760c23d0-6645-11e6-96c0-37533479f3f5_story.html,1
539,hillary_clinton,539,539_hillary_clinton.jpg,http://cbsnews1.cbsistatic.com/hub/i/r/2016/09/23/e9390f45-6f43-41cd-8fa5-b4bc6187b424/thumbnail/620x350/3130b8b1efbd49c62062ccf8576bbecd/2016-09-21t193305z-2007656835-s1beucqawvaa-rtrmadp-3-usa-election-clinton.jpg,CBS New,http://www.cbsnews.com/news/hillary-clinton-releases-ad-featuring-donald-trumps-degrading-comments-toward-women/,1
