Unnamed: 0,candidate,count,image_file,image_url,news_source,news_source_url,present,image_hash
561,donald_trump,561,561_donald_trump.jpg,https://www.usnews.com/dims4/USNEWS/120785b/2147483647/thumbnail/970x647/quality/85/?url\u003d%2Fcmsmedia%2F74%2F28c9ad4c2a46b40ec774b3f322672b%2Fresizes%2F1500%2Fmedia%3Ad392f6f4910c409fa5f2891ede0a8020TrumpTorture.JPEG,US News \u0026 World Repor,http://www.usnews.com/news/blogs/at-the-edge/2016/03/01/president-donald-trump-likely-the-next-occupant-of-the-white-house,1,3130327272323232
575,donald_trump,575,575_donald_trump.jpg,https://heavyeditorial.files.wordpress.com/2016/10/gettyimages-51302529-e1476329767130.jpg?quality\u003d65\u0026strip\u003dall\u0026w\u003d780\u0026strip\u003dall,Heavy.com,http://heavy.com/news/2016/10/donald-trump-sexual-assault-accusation-acuser-accusation-the-apprentice-contestant-summer-zervos/,1,fbdbb36969696969
577,donald_trump,577,577_donald_trump.jpg,https://i.vemba.io/images/resize-6095b96c62da4d68a125dc7fc6fe088e-aspect-w-300.jpg,The Daily Bea,http://www.thedailybeast.com/articles/2016/10/14/ivanka-trump-silent-as-women-allege-donald-trump-inappropriately-touched-them.html,1,29182869696849e9
585,donald_trump,585,585_donald_trump.jpg,https://peopledotcom.files.wordpress.com/2016/08/donald-trump-f-1024.jpg?w\u003d1024,People,http://people.com/celebrity/donald-trump-talks-brother-freds-death-from-alcoholism/,1,79d191bbf8f87273
592,donald_trump,592,592_donald_trump.jpg,http://assets.nydailynews.com/polopoly_fs/1.2848475.1477642099!/img/httpImage/image.jpg_gen/derivatives/article_750/usa-election-trump.jpg,New York Daily New,http://www.nydailynews.com/news/politics/donald-trump-calls-african-american-neighborhoods-ghettos-article-1.2848477,1,6aeaaa6c65636664
601,donald_trump,601,601_donald_trump.jpg,https://cdn-images-1.medium.com/max/800/1*e49itv-f4vrEoLnESL5NRQ.jpeg,ThinkProgre,https://thinkprogress.org/protesters-greet-donald-trump-at-black-church-in-detroit-what-do-we-have-to-lose-everything-3c0df2a03dc9,1,4b6f29dc4c4c4464
604,donald_trump,604,604_donald_trump.jpg,http://esq.h-cdn.co/assets/16/41/1476377728-gameindex.jpg,Esquire,http://www.esquire.com/news-politics/a49475/donald-trump-pick-up-artist/,1,3a53b83034262226
605,donald_trump,605,605_donald_trump.jpg,http://static4.businessinsider.com/image/57f801a757540c8a728b4994-480/donald-trump.png,Business Insider,http://www.businessinsider.com/trump-leaked-recording-women-audio-billy-bush-2016-10,1,dada6be860606362
608,donald_trump,608,608_donald_trump.jpg,http://www.trbimg.com/img-57ec052d/turbine/ct-donald-trump-blacks-racist-20160928,Chicago Tribune,http://www.chicagotribune.com/news/opinion/commentary/ct-donald-trump-blacks-racist-20160928-story.html,1,102626264fdae585
611,donald_trump,611,611_donald_trump.jpg,http://www.conservapedia.com/images/thumb/6/67/Donald_Trump_Speaking_in_Fountain_Hills.jpg/300px-Donald_Trump_Speaking_in_Fountain_Hills.jpg,Conservapedia,http://www.conservapedia.com/Donald_Trump,1,6e3e59c8c8e8968e
617,donald_trump,617,617_donald_trump.jpg,http://www.slate.com/content/dam/slate/blogs/the_slatest/2016/10/14/donald_trump_sexual_assault_response_they_re_too_ugly_for_me/614354608-republican-presidential-candidate-donald-trump-speaks.jpg.CROP.promo-xlarge2.jpg,Slate,http://www.slate.com/blogs/the_slatest/2016/10/14/donald_trump_sexual_assault_response_they_re_too_ugly_for_me.html,1,bff93359d8dcded9
619,donald_trump,619,619_donald_trump.jpg,https://i.kinja-img.com/gawker-media/image/upload/s--vKG5AEP8--/c_scale,The Slot - Jezebel,http://theslot.jezebel.com/meet-the-convicted-cocaine-trafficker-donald-trump-call-1787180877,1,850d0c1424646063
622,donald_trump,622,622_donald_trump.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160906141735-donald-trump-virginia-beach-large-169.jpg,CNN.com,http://www.cnn.com/2016/09/06/politics/donald-trump-hillary-clinton-election-2016/,1,c8ae2e6a6c29b9b9
625,donald_trump,625,625_donald_trump.jpg,http://i.huffpost.com/gen/4751570/images/n-DONALD-TRUMP-628x314.jpg,The Huffington Po,http://www.huffingtonpost.com/adam-levin/does-donald-trump-have-a_b_12375794.html,1,736c6d6b27276fcf
627,donald_trump,627,627_donald_trump.jpg,http://cbsnews1.cbsistatic.com/hub/i/r/2016/09/20/0a678206-96b7-4812-8e34-d149abc3aa31/thumbnail/620x350/94c2d1867ebc30944505c06c68619c4b/2016-09-20t221011z-79389734-s1beuclrahaa-rtrmadp-3-usa-election-trump.jpg,CBS New,http://www.cbsnews.com/news/donald-trump-ups-ad-spending-to-140m-expands-into-3-more-states/,1,c9093b39321290d3
631,donald_trump,631,631_donald_trump.jpg,https://m.hrc.onl/secretary/05-feed/04-sept/48-trump-accusations/trump-accusations-feed-cover-700x467.jpg,Hillary for America,https://www.hillaryclinton.com/feed/9-times-donald-trump-accused-hillary-clinton-of-doing-all-the-terrible-things-hes-done/,1,568a0f879bd9ae9d
