candidate,image_file,image_url,news_source,news_source_url,image_hash,bias_rating
hillary_clinton,164_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/news/2016/08/19/Hillary_Clinton-large_trans_NvBQzQNjv4BqpJliwavx4coWFCaEkEsb3kvxIt-lGGWCWqwLa_RXJU8.jpg,The Telegraph,http://www.telegraph.co.uk/news/2016/09/02/hillary-clinton-those-emails-and-the-whiff-of-scandal-that-wont/,61890e6c4fe76b43,0
hillary_clinton,168_hillary_clinton.jpg,http://media.washtimes.com.s3.amazonaws.com/media/image/2016/10/10/HillaryClinton.jpg,Washington Time,http://www.washingtontimes.com/news/2016/oct/12/hillary-clintons-forgotten-foreign-aid-fiascos/,cdcecdcd4f66e471,1
hillary_clinton,178_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/10/13/HRC_c0-65-3809-2285_s885x516.jpg?ce6490b74f4ba13a6500398f70deb38f77054bcf,Washington Time,http://www.washingtontimes.com/news/2016/oct/13/hillary-clinton-admits-she-didnt-have-permission-s/,468e878393870626,1
hillary_clinton,187_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/29/Campaign_2016_Clinton.JPEG-09b6a_c0-111-4981-3015_s885x516.jpg?3c0134f841a7a5d52de57ca33d7971eb66db301b,Washington Time,http://www.washingtontimes.com/news/2016/sep/30/hillary-clinton-proposes-national-service-reserve/,a2b28aa62233336e,1
hillary_clinton,196_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/09/26/Campaign_2016_Debate.JPEG-372ca_c0-197-3102-2005_s885x516.jpg?707ae6927a847b1200b59602fe59804e70e086cb,Washington Time,http://www.washingtontimes.com/news/2016/sep/26/hillary-clinton-calls-us-racist-debate/,4f4f0f4f8b4bfbeb,1
hillary_clinton,197_hillary_clinton.jpg,https://timedotcom.files.wordpress.com/2015/11/clinton-debate2.jpg?w\u003d1100\u0026quality\u003d85,Time,http://time.com/4128624/hillary-clinton-climate-change/,3d7dedcfc9c9f1c3,-2
hillary_clinton,202_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/10/27/HillaryClinton_c0-158-2997-1905_s885x516.jpg?c044ef5e39215a3f722c7a0a26d84533839b5956,Washington Time,http://www.washingtontimes.com/news/2016/oct/27/hillary-clinton-scandals-fbi-politicization-date-b/,179bab4f1bea2666,1
hillary_clinton,238_hillary_clinton.jpg,http://static1.businessinsider.com/image/57f828e39bd9789b018b5b97-480/hillary-clinton.jpg,Business Insider,http://www.businessinsider.com/wikileaks-hillary-clinton-private-speeches-released-2016-10,264b83838316a6a5,0
hillary_clinton,245_hillary_clinton.jpg,http://twt-thumbs.washtimes.com/media/image/2016/10/04/Campaign_2016_Clinton.JPEG-07d1f_c0-0-5379-3136_s885x516.jpg?22ca2961f0ba6c38a12b908ffad8415fb72e440f,Washington Time,http://www.washingtontimes.com/news/2016/oct/8/hillary-clinton-dreams-open-borders-leaked-speech-/,4b8cab2b738f69e9,1
hillary_clinton,250_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/technology/2016/03/07/hillary_3232486b-large_trans_NvBQzQNjv4BqpJliwavx4coWFCaEkEsb3kvxIt-lGGWCWqwLa_RXJU8.jpg,The Telegraph,http://www.telegraph.co.uk/technology/2016/05/05/hacker-reveals-how-he-read-hillary-clintons-emails/,a48ccccccc082002,0
